week,staff_id,staff_name,role,service,present,roster_staff_id,is_off_roster
1,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
2,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
3,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
4,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
5,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
6,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
7,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
8,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
9,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
10,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
11,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
12,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
13,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
14,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
15,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
16,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
17,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
18,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
19,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
20,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
21,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
22,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
23,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
24,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
25,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
26,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
27,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
28,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
29,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
30,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
